Année,situation,Taux d’insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,% emplois extérieurs à la région de l’université,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des diplômés boursiers dans la discipline,Part des femmes,Taux de chômage national,Salaire net mensuel médian national,Salaire net mensuel national 1er quartile,Salaire net mensuel national 3ème quartile,Disciplines_encoded,Domaine_encoded,Discipline_encoded,Secteur disciplinaire_encoded
2016,1,86.0,88.0,60.0,45.0,61.0,95.0,-0.29838727973733953,-0.3503661062348463,-0.31933291630916505,-0.10512613394705042,35.0,47.0,8.5,-1.0001793218984383,-1.38806435697491,-1.38806435697491,0.017288444040036398,0.21929026387625114,0.04913557779799818,0.017288444040036398
2017,0,90.0,95.0,88.0,34.0,53.0,64.0,-0.7303360074040497,-0.7671690328687618,-0.45454650714860745,-0.8966987488868714,38.0,87.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.017288444040036398,0.21929026387625114,0.017288444040036398,0.017288444040036398
2020,0,88.0,82.0,55.0,42.0,54.0,91.0,-0.5339956766464542,0.16450809725410806,-0.6348312949345306,-0.5368930148233164,36.0,72.0,6.9,2.0226524078108232,2.4292211689942373,2.4292211689942373,0.017288444040036398,0.21929026387625114,0.017288444040036398,0.017288444040036398
2011,1,89.0,83.0,58.0,44.0,67.0,91.0,-0.25911921358582046,-0.30133046780732686,-0.45454650714860745,0.0028155862720160825,29.0,68.0,9.7,-1.477468542378848,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.21929026387625114,0.017288444040036398,0.017288444040036398
2017,0,73.0,71.0,46.0,23.0,65.0,74.0,-0.8285061727828474,-0.8652403097238007,-0.6799024918810114,-0.7167958818550939,33.0,65.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.017288444040036398,0.21929026387625114,0.11828935395814377,0.017288444040036398
2019,1,84.0,86.0,70.0,35.0,71.0,85.0,0.5262421094445616,0.45872192781922483,-0.38693971172888625,-0.19507756746293917,29.0,62.0,7.2,1.3862667805036102,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.21929026387625114,0.11828935395814377,0.017288444040036398
2019,1,95.0,84.0,42.0,28.0,58.0,91.0,-0.4947276104949351,-0.5219908407311645,-0.45454650714860745,-0.5728735882296719,36.0,85.0,7.2,1.3862667805036102,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.21929026387625114,0.11828935395814377,0.017288444040036398
2015,1,85.0,78.0,48.0,34.0,52.0,86.0,-0.8088721397070879,-0.8652403097238007,-0.6799024918810114,-0.7887570286678048,35.0,79.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.017288444040036398,0.21929026387625114,0.11828935395814377,0.017288444040036398
2017,1,88.0,82.0,49.0,29.0,58.0,87.0,-0.6517998751010114,-0.6936155752274826,-0.4996177040950882,-0.6448347350423829,34.0,74.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.017288444040036398,0.21929026387625114,0.11828935395814377,0.017288444040036398
2012,1,85.0,78.0,45.0,28.0,51.0,89.0,-1.0052124704646834,-1.0368650442201188,-0.9052584766134154,-0.7167958818550939,32.0,80.0,10.1,-1.0001793218984383,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.21929026387625114,0.11828935395814377,0.017288444040036398
2011,1,84.0,79.0,43.0,33.0,55.0,86.0,-1.0444805366162024,-1.0613828634338787,-1.1306144613458193,-1.220523909544071,29.0,80.0,9.7,-1.477468542378848,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.21929026387625114,0.11828935395814377,0.017288444040036398
2018,1,84.0,81.0,50.0,38.0,58.0,88.0,-0.25911921358582046,-0.30133046780732686,-0.6799024918810114,-0.10512613394705042,34.0,76.0,7.8,0.5907847463695941,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.21929026387625114,0.11828935395814377,0.017288444040036398
2017,0,98.0,100.0,89.0,52.0,86.0,100.0,1.2330673001719055,1.1452208658044973,1.3483013707106244,0.4345824671482821,33.0,35.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.017288444040036398,0.41310282074613286,0.09645131938125569,0.017288444040036398
2014,1,97.0,95.0,90.0,63.0,84.0,100.0,1.782820226293173,1.6846128885072116,0.44687743178100847,0.6504659075864151,31.0,26.0,9.3,-0.3637936945912254,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.41310282074613286,0.09645131938125569,0.017288444040036398
2016,1,99.0,91.0,78.0,56.0,89.0,99.0,1.7042840939901347,1.6110594308659323,1.5736573554430282,1.6939025363707245,28.0,40.0,8.5,-1.0001793218984383,-1.38806435697491,-1.38806435697491,0.017288444040036398,0.41310282074613286,0.09645131938125569,0.017288444040036398
2018,1,91.0,99.0,86.0,44.0,91.0,99.0,1.46867569708102,1.3903990579420946,1.7990133401754322,1.2981162289008141,28.0,21.0,7.8,0.5907847463695941,0.5205784060096638,0.5205784060096638,0.014558689717925387,0.41310282074613286,0.10100090991810737,0.014558689717925387
